….	….
a.	a.
AA.	aa.
AA.RR.	aa.rr.
a/a	a/a
ab.	ab.
abr.	abr.
abrev.	abrev.
abs.	abs.
a.C.	a.c.
Adj.	adj.
Adv.	adv.
admón.	admón.
a.m.	a.m.
anál.	anál.
ant.	ant.
Ap.	ap.
Apdo.	apdo.
aprox.	aprox.
arch.	arch.
art.	art.
art.º	art.º
Arz.	arz.
Arzbpo.	arzbpo.
Arq.	arq.
Atlco.	atlco.
atl.º	atl.º
atte.	atte.
atto.	atto.
aux.	aux.
Av.	av.
Avd.	avd.
Avda.	avda.
Ayto.	ayto.
b.	b.
B.º	b.º
b.	b.
Bco.	bco.
bda.	bda.
bibl.	bibl.
Brig.	brig.
Bs.	bs.
Bs.F.	bs.f.
Btá.	btá.
bv.	bv.
blv.	blv.
c/	c/
c.	c.
C.	c.
cap.	cap.
c/c	c/c
CC.	cc.
Cdad.	cdad.
cents.	cents.
cénts.	cénts.
Cía.	cía.
cit.	cit.
cta.	cta.
cte.	cte.
ctra.	ctra.
c/u	c/u
col.	col.
D.	d.
d.C.	d.c.
D.ª	d.ª
der.	der.
Dcha.	dcha.
depto.	depto.
desus.	desus.
dicc.	dicc.
Dir.	dir.
doc.	doc.
Dpt.º	dpt.º
dpto.	dpto.
Dr.	dr.
Dra.	dra.
dto.	dto.
Dtto.	dtto.
dupdo.	dupdo.
e.	e.
ed.	ed.
e.d.	e.d.
Ed.	ed.
Edit.	edit.
Edo.	edo.
EE.	ee.
ej.	ej.
Emmo.	emmo.
entlo.	entlo.
etc.	etc.
Exc.ª	exc.ª
Excma.	excma.
Excmo.	excmo.
ext.	ext.
f.	f.
F.C.	f.c.
Fdo.	fdo.
FF.	ff.
fig.	fig.
gén.	gén.
geneal.	geneal.
genét.	genét.
geogr.	geogr.
geom.	geom.
gimn.	gimn.
glob.	glob.
Gob.	gob.
gpo.	gpo.
gráf.	gráf.
Gral.	gral.
gralte.	gralte.
gta.	gta.
hab.	hab.
ib.	ib.
ibid.	ibid.
íd.	íd.
i.	i.
Ilma.	ilma.
Ilmo.	ilmo.
Iltre.	iltre.
imp.	imp.
izq.	izq.
izda.	izda.
izqda.	izqda.
i/v	i/v
JJ.	jj.
JJ.OO.	jj.oo.
l.	l.
l.oo.	l.oo.
lab.	lab.
Lcdo.	lcdo.
Lcda.	lcda.
Lda.	lda.
Ldo.	ldo.
Lic.	lic.
lit.	lit.
long.	long.
ltdo.	ltdo.
Ltda.	ltda.
m.	m.
máx.	máx.
mat.	mat.
mét.	mét.
mín.	mín.
min.	min.
Mons.	mons.
MM.	mm.
Mtro.	mtro.
Mtra.	mtra.
Mtr.	mtr.
n.	n.
n.º 	n.º
NN.	nn.
núm.	núm.
núm.	num.
Ntra.	ntra.
o.	o.
ob.	ob.
Obpo.	obpo.
OO.	oo.
p.	p.
pág.	pág.
págs.	págs.
párr.	párr.
Pdta.	pdta.
Pdte.	pdte.
ej.	ej.
Ph.D.	ph.d.
pl.	pl.
P.za	p.za
Plza.	plza.
p.m.	p.m.
pza.	pza.
p.º	p.º
Pol.	pol.
pp.	pp.
pral.	pral.
Prof.	prof.
Prof.ª	prof.ª
pról.	pról.
Ptos	ptos
R.D.	r.d.
reg.	reg.
rel.	rel.
Rep.	rep.
Rma.	rma.
Rmo.	rmo.
RR.	rr.
Rte.	rte.
s.	s.
ss.	ss.
sarg.	sarg.
secret.ª	secret.ª
send.	send.
seud.	seud.
serv.	serv.
spre.	spre.
s/f	s/f
sig.	sig.
Sdad.	sdad.
Ltda.	ltda.
Sr.	sr.
Sra.	sra.
Sres.	sres.
Srs.	srs.
Srta.	srta.
ss.	ss.
SS.	ss.
Sta.	sta.
Sto.	sto.
sup.	sup.
tfno.	tfno.
teléf.	teléf.
trad.	trad.
tít.	tít.
tít.	tit.
Ud.	ud.
Uds.	uds.
Univ.	univ.
urb.	urb.
vol.	vol.
v.	v.
Vd.	vd.
Vds.	vds.
VV.	vv.
