A.C.N.	a.c.n.
all.	all.
ann.	ann.
Ann.	ann.
app.	app.
apr.	apr.
art.	art.
auj.	auj.
av.	av.
bât.	bat.
boul.	boul.
c.a.d.	c.a.d.
c.-à-d.	c.-a-d.
cam.	cam.
chap.	chap.
coll.	coll.
crs.	crs.
ct.	ct.
dir.	dir.
Doct.	doct.
e.g.	e.g.
éd.	ed.
env.	env.
É.-U.	é.-u.
É.-U.A.	é.-u.a.
etc.	etc.
ex.	ex.
fr.	fr.
fig.	fig.
Fl.	fl.
gén.	gén.
G.I.C.	g.i.c.
M.	m.
Me.	me.
Mlle.	mlle.
Mlles.	mlles.
MM.	mm.
ms.	ms.
N.-É.	n.-e.
néerl.	néerl.
par ex.	par ex.
p.ex.	p.ex.
P.-V.	p.-v.
R.A.S.	r.a.s.
resp.	resp.
sec.	sec.
tél.	tel.
u.a.	u.a.
W.-C.	w.-c.
V.T.T.	v.t.t.
Vlc.	vlc.
